11623151	165
11623183	214.2
12058339	214.2
12078318	214.2
12078369	214.2
12087702	217.3
12087864	192.6
12087958	225
12087959	225
12087960	225
12088014	192.6
12088084	192.6
12088597	217.3
12088651	217.3
12096368	225
12096369	225
12096450	225
12118243	201.6
12119216	192.6
12119220	192.6
12119221	192.6
12178032	225
12178546	154.5
12191296	225.7
12192440	225.7
12194054	148.6
12194055	227.4
12194056	225.7
12194583	227.4
12194584	227.4
12196341	195
12196342	195
12199217	195.6
12210720	155.3
12220214	177.6
11000942	135.2
11000943	135.2
11000944	135.2
11000946	98.8
11001057	123
11004574	127.6
11004647	132.2
11623193	216.5
12042174	225.9
12049075	216.5
12049076	220.7
12050008	225.9
12051085	108.5
12051087	108.5
12051682	108.5
12059063	222
12060505	216.5
12060506	220.7
12060507	225.9
12060508	228
12060509	228.2
12087700	216.5
12110569	229
12113452	228.2
12115742	226.4
12116259	212
12116263	229.5
12126685	225.9
12127563	224
12127564	224
12132966	229.5
12132967	212
12135507	217.8
12135508	221.8
12135509	222.1
12135586	128.2
12136844	217.8
12136930	217.8
12136932	222.1
12136933	222.1
12136935	217.8
12137699	201.2
12137730	212
12137731	229.5
12138020	222
12138411	216.5
12138412	216.5
12138515	107.4
12138628	217.8
12141385	216.5
12141474	107.4
12141621	212
12142433	221.8
12142478	199.8
12143077	227.4
12143674	107.4
12143675	216.5
12143978	229
12143985	216.5
12148128	222.1
12148138	217.8
12148180	217.8
12148181	217.8
12152091	228.2
12152800	108
12160851	217.8
12160852	221.8
12160853	217.8
12160854	217.8
12160855	217.8
12160856	222.1
12160857	222.1
12160858	217.8
12160859	222.1
12160870	222.1
12160871	221.8
12160872	217.8
12161003	229
12161070	212
12161071	229.5
12161072	222
12161544	212
12162429	213
12165681	222
12166674	108
12176929	174.5
12176978	216.5
12178391	226.4
12178619	154.5
12178640	154.5
12179669	180.4
12189498	164.7
12189937	217.8
12199283	228
12203065	226.9
12204004	228.2
12204005	228
12207443	171.9
12209430	171.9
12209539	217.8
12209590	222.1
12209591	221.8
12215743	228
12215744	228.2
12220428	179.4
12045793	103.4
12089916	103.4
12104122	96.2
12113396	103.9
12113397	103.9
12113593	103.9
12113594	103.9
12115461	105.1
12118063	171
12118064	126
12118065	157.5
12118066	126
12118068	138
12118069	81
12118080	138
12118081	171
12118082	171
12118083	121.5
12118084	81
12118085	81
12118124	171
12118125	185
12118126	91
12118127	91
12119840	183
12119843	168.2
12119844	168.2
12119845	168.2
12120088	103.4
12120090	103.4
12120147	103.4
12120270	103.4
12120271	103.4
12120282	103.4
12120395	103.4
12120397	103.4
12121894	103.9
12122102	103.9
12125184	198
12125185	166.2
12125400	106.8
12125503	103.9
12128828	103.4
12129283	94.5
12129285	94.5
12130878	103.9
12130879	103.9
12134953	220.9
12134954	220.9
12134955	220.9
12136960	103.9
12137861	180.2
12137865	180.2
12137866	180.2
12142315	186.8
12142316	186.8
12142996	103.9
12143041	103.9
12143082	165
12148061	103.4
12148139	186.8
12148140	186.8
12161493	88
12161494	113.5
12161829	127
12167204	115.5
12167209	115.5
12167240	115.5
12167328	105
12167329	107.4
12167411	114
12167412	96
12167413	96
12167414	96
12167614	127
12167616	115.5
12173257	110.2
12173258	112.2
12173721	108
12173722	101
12173723	109
12173724	113
12173725	91.8
12173726	102.9
12173727	105.4
12173728	115.5
12173730	115.5
12173732	111
12173830	120
12177730	215
12177782	215
12180464	215
12181736	103.4
12181737	103.4
12186417	103.4
12186859	113
12188744	96.2
12188749	96.2
12194430	215
12194431	215
12196108	108
12196109	108
12196110	108
12196111	114
12214190	103.4
12214191	103.4
12215787	215
12216079	215
12216120	215
12216121	215
12216122	215
12216123	215
12218606	166
5219838	103.4
5219839	103.4
5219842	103.4
5219849	103.4
5219918	103.4
11624015	152
11624016	156.6
11624020	163.5
12037315	164
12037316	154
12037317	157
12038267	164
12038964	167.1
12044479	156.6
12044480	152
12044481	163.5
12087141	158.4
